code,description,category,is_active,valid_payment,created_at,updated_at
0742,Veterinary Services,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
0763,Agricultural Cooperatives,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
0780,Horticultural and Landscaping Services,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
1520,General Contractors–Residential and Commercial,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
1711,"Air Conditioning, Heating and Plumbing Contractors",Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
1731,Electrical Contractors,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
1740,"Insulation, Masonry, Plastering, Stonework and Tile Setting Contractors",Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
1750,Carpentry Contractors,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
1761,"Roofing and Siding, Sheet Metal Work Contractors",Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
1771,Concrete Work Contractors,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
1799,"Contractors, Special Trade Contractors–not elsewhere classified",Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
2741,Miscellaneous Publishing and Printing,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
2791,"Typesetting, Plate Making and Related Services",Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
2842,"Sanitation, Polishing and Specialty Cleaning Preparations",Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3000,United Airlines,Transportation services,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3001,American Airlines,Transportation services,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3002,Pan American,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3003,Eurofly,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3004,Dragon Airlines,Transportation services,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3005,British Airways,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3006,Japan Air Lines,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3007,Air France,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3008,Lufthansa German Airlines,Transportation services,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3009,Air Canada,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3010,Royal Dutch Airlines (KLM Airlines),Transportation services,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3011,Aeroflot,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3012,Qantas,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3013,Alitalia,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3014,Saudi Arabian Airlines,Transportation services,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3015,Swiss International Air Lines,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3016,Scandinavian Airline System (SAS),Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3017,South African Airways,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3018,Varig,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3019,Germanwings,Miscellaneous shops,true,TSYS,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3020,Air India,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3021,Air Algerie,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3022,Philippine Airlines,Transportation services,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3023,Mexicana,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3024,Pakistan International,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3025,Air New Zealand Ltd. International,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3026,Emirates Airlines,Transportation services,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3027,Union De Transports Aeriens (UTA/interair),Transportation services,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3028,Air Malta,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3029,SN Brussels Airlines,Transportation services,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3030,Aerolineas Argentinas,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3031,Olympic Airways,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3032,El Al,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3033,Ansett Airlines,Transportation services,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3034,Etihadair,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3035,TAP Air Portugal (TAP),Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3036,Viacao Aerea Sao Pãulo (VASP),Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3037,Egyptair,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3038,Kuwait Airways,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3039,Avianca,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3040,Gulf Air (Bahrain),Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3041,Balkan-Bulgarian Airlines,Transportation services,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3042,Finnair,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
3043,Aer Lingus,Miscellaneous shops,true,VM,2026-06-10T14:29:07+00:00,2026-06-10T14:29:07+00:00
