id,branch,brand,mcc_code,created_at
bad773a4-76fc-5cf8-80ad-4675e09299d2,Bamboo Airways Cau Giay,Bamboo Airways,3639,2024-01-25T14:29:07+00:00
83e1ada8-90d6-5a75-a84b-9c3ffbe1138c,CellphoneS MoMo,CellphoneS,5818,2024-02-28T14:29:07+00:00
902535e4-22cc-5833-a796-266b18c8da93,WinMart District 1,WinMart,5300,2021-03-27T14:29:07+00:00
a499107e-e6b6-59d1-b017-fde0b4c57a65,Lotte Mart Hai Ba Trung,Lotte Mart,5300,2024-06-23T14:29:07+00:00
47d70036-11fd-50d4-9119-66947d1528e6,CGV Cinemas Cau Giay,CGV Cinemas,7993,2025-09-13T14:29:07+00:00
6f95de4f-a655-54e6-9ca2-88d062ea558c,Hoan My Clinic Da Nang Center,Hoan My Clinic,8049,2025-10-02T14:29:07+00:00
be63c441-7993-595e-bd9e-b731d551fcf9,Highlands Coffee Can Tho,Highlands Coffee,5813,2025-04-02T14:29:07+00:00
ec1373fb-06d3-550e-af5c-53cc773b76e8,Spotify VNPay,Spotify,5818,2022-09-20T14:29:07+00:00
71347580-c72c-5338-a12e-778635a8527f,Guardian Nha Trang Center,Guardian,7230,2021-09-07T14:29:07+00:00
9693d530-a661-5640-8090-15aadef0ab00,Mai Linh Taxi Thu Duc,Mai Linh Taxi,4789,2023-09-21T14:29:07+00:00
88ad4149-a54d-5624-9b00-14f7aaf90836,CGV Cinemas District 1,CGV Cinemas,7802,2022-09-20T14:29:07+00:00
ab64c761-9591-5a41-95bb-1ccdb932110c,Hasaki Can Tho,Hasaki,7230,2025-05-10T14:29:07+00:00
adf8835d-5f6b-5c74-b00b-ad2e54c82348,Be Thu Duc,Be,5541,2022-03-31T14:29:07+00:00
d255304a-ce99-5249-81ef-5b6337e43c90,Grab Aeon Mall,Grab,4111,2022-12-24T14:29:07+00:00
6061eb53-8531-5838-88aa-0a26622ee110,Nguyen Kim District 3,Nguyen Kim,5200,2023-09-03T14:29:07+00:00
08d17056-8c08-5b3e-b0ce-f3635de6085f,Mai Linh Taxi Tan Binh,Mai Linh Taxi,4789,2024-02-19T14:29:07+00:00
41474451-e45b-5361-9e87-b0436fe1f000,Mai Linh Taxi Thu Duc,Mai Linh Taxi,3229,2023-06-02T14:29:07+00:00
d8cb4370-65f2-5f56-8b60-19b2a1ffeaf5,Guardian Nha Trang Center,Guardian,7298,2025-11-24T14:29:07+00:00
87017615-4824-5397-99b4-4828ad7888b4,Local Service Hoan Kiem,Local Service,9752,2023-07-13T14:29:07+00:00
6b114360-f9be-5f69-95df-cfcb1f30cd37,PNC Bookstore Thu Duc,PNC Bookstore,7911,2021-09-05T14:29:07+00:00
c1359783-3d7f-51ae-bab6-bfc405d703f9,Viettel Telecom App,Viettel Telecom,4812,2021-06-10T14:29:07+00:00
70786d1c-99dc-57a9-ad35-1899d57d31f1,The Gioi Di Dong VNPay,The Gioi Di Dong,5732,2024-11-05T14:29:07+00:00
220965a7-84d4-5576-a273-91f846804ed5,VNPT App,VNPT,4900,2025-06-28T14:29:07+00:00
63e79d2b-4ad8-5f52-9d66-faf9d1f48e86,Lotte Cinema Cau Giay,Lotte Cinema,7802,2021-08-10T14:29:07+00:00
df28f376-c439-57f5-b2cf-d4fcc1f97f75,Bach Hoa Xanh Tan Binh,Bach Hoa Xanh,5411,2024-01-16T14:29:07+00:00
40924814-a2cd-5f57-9a56-eabcf95aefcc,MoMo Tan Binh,MoMo,3431,2021-09-28T14:29:07+00:00
02225244-17d3-58f1-b81b-46d618a6ec40,Saigon Water MoMo,Saigon Water,4814,2025-03-10T14:29:07+00:00
b06fcdef-fa8a-5577-9767-c29116ab49e4,EVN App,EVN,4814,2025-10-01T14:29:07+00:00
bada9f2b-a985-5e86-8772-9ac77c7fd9b8,Be Hoan Kiem,Be,4111,2025-05-29T14:29:07+00:00
43f2d1c2-eb61-537b-8b05-b481b27c0fdb,Medlatec Aeon Mall,Medlatec,8071,2021-11-10T14:29:07+00:00
305f2d9e-038f-5791-9287-d86208dce7f1,Uniqlo Da Nang Center,Uniqlo,5712,2021-06-23T14:29:07+00:00
984cb6ea-ab3d-51cc-a936-61282bb0dd47,CGV Cinemas Can Tho,CGV Cinemas,7922,2023-06-29T14:29:07+00:00
89c8bb0d-8c02-528e-8879-a25c66c3d894,Vietnam Airlines Lotte Mall,Vietnam Airlines,3713,2022-04-16T14:29:07+00:00
