id,credit_card_id,name,reward_type,cashback_rate,points_rate,monthly_cap_amount,minimum_transaction_amount,minimum_monthly_spend,eligible_channel,conditions_text,effective_from,effective_to,source_url,is_active,created_at
a5e838d4-7082-54c1-8479-cdfe8b353619,b4cbc629-3a1e-58c0-98a3-6abf1e95f100,Dining cashback,cashback,0.0500,,300000.00,50000.00,0.00,any,Synthetic rule for dining cashback on Vietcombank Cashback Plus.,2025-01-01,2026-12-31,https://example.com/reward-rules/1,true,2026-06-10T14:29:07+00:00
637c7e2e-6ac1-52d6-86fa-15b189a63dce,b4cbc629-3a1e-58c0-98a3-6abf1e95f100,Grocery cashback,cashback,0.0400,,250000.00,50000.00,0.00,any,Synthetic rule for grocery cashback on Vietcombank Cashback Plus.,2025-01-01,2026-12-31,https://example.com/reward-rules/2,true,2026-06-10T14:29:07+00:00
fe8870ae-b445-59fa-92e0-00c17fc9bb0e,b4cbc629-3a1e-58c0-98a3-6abf1e95f100,Base cashback,cashback,0.0020,,100000.00,0.00,0.00,any,Synthetic rule for base cashback on Vietcombank Cashback Plus.,2025-01-01,2026-12-31,https://example.com/reward-rules/3,true,2026-06-10T14:29:07+00:00
ebd3aa55-20d3-5cb2-8427-163d9a8132dd,c8ceed11-7ddd-5bf8-8e35-d2133d08c306,Travel cashback,cashback,0.0600,,500000.00,100000.00,0.00,any,Synthetic rule for travel cashback on Vietcombank Travel Signature.,2025-01-01,2026-12-31,https://example.com/reward-rules/1,true,2026-06-10T14:29:07+00:00
4ea40b30-02ed-5725-a26d-476e557c1f99,c8ceed11-7ddd-5bf8-8e35-d2133d08c306,Dining abroad cashback,cashback,0.0400,,250000.00,50000.00,0.00,any,Synthetic rule for dining abroad cashback on Vietcombank Travel Signature.,2025-01-01,2026-12-31,https://example.com/reward-rules/2,true,2026-06-10T14:29:07+00:00
29ab60c8-2ade-5bc2-a9c4-262b7ac148e0,c8ceed11-7ddd-5bf8-8e35-d2133d08c306,Base miles,miles,0.0000,1.0000,0.00,0.00,0.00,any,Synthetic rule for base miles on Vietcombank Travel Signature.,2025-01-01,2026-12-31,https://example.com/reward-rules/3,true,2026-06-10T14:29:07+00:00
af28afd6-762e-505a-8cce-fcd9d2a8a67e,be369f64-957c-5d10-920a-be5cb898a322,Shopping cashback,cashback,0.0500,,350000.00,50000.00,0.00,any,Synthetic rule for shopping cashback on Techcombank Everyday Rewards.,2025-01-01,2026-12-31,https://example.com/reward-rules/1,true,2026-06-10T14:29:07+00:00
ee7c4d4c-f52d-5718-b81e-049d7abbc5e2,be369f64-957c-5d10-920a-be5cb898a322,Online retail cashback,cashback,0.0600,,300000.00,50000.00,0.00,online,Synthetic rule for online retail cashback on Techcombank Everyday Rewards.,2025-01-01,2026-12-31,https://example.com/reward-rules/2,true,2026-06-10T14:29:07+00:00
0d832dff-afda-515a-88b9-7cc67ef4fa64,be369f64-957c-5d10-920a-be5cb898a322,Base cashback,cashback,0.0020,,100000.00,0.00,0.00,any,Synthetic rule for base cashback on Techcombank Everyday Rewards.,2025-01-01,2026-12-31,https://example.com/reward-rules/3,true,2026-06-10T14:29:07+00:00
34c7ca50-78dc-5479-95d4-2c7d5abb1265,b6a805d2-f017-5c39-807f-ea91b044ed7c,Dining cashback,cashback,0.0800,,400000.00,50000.00,0.00,any,Synthetic rule for dining cashback on Techcombank Dining Cashback.,2025-01-01,2026-12-31,https://example.com/reward-rules/1,true,2026-06-10T14:29:07+00:00
6508de19-9c1b-52b5-9a50-92ee43244804,b6a805d2-f017-5c39-807f-ea91b044ed7c,Entertainment cashback,cashback,0.0400,,200000.00,50000.00,0.00,any,Synthetic rule for entertainment cashback on Techcombank Dining Cashback.,2025-01-01,2026-12-31,https://example.com/reward-rules/2,true,2026-06-10T14:29:07+00:00
642d3d08-b8da-5cab-bfe8-9753897e770d,b6a805d2-f017-5c39-807f-ea91b044ed7c,Base cashback,cashback,0.0020,,100000.00,0.00,0.00,any,Synthetic rule for base cashback on Techcombank Dining Cashback.,2025-01-01,2026-12-31,https://example.com/reward-rules/3,true,2026-06-10T14:29:07+00:00
f0f3dcef-4809-52bc-9751-38427a44061b,cbbb0d5b-1db6-5f18-adb3-3778ab8c0a5a,Digital and online cashback,cashback,0.0700,,350000.00,50000.00,0.00,online,Synthetic rule for digital and online cashback on VPBank Online Cashback.,2025-01-01,2026-12-31,https://example.com/reward-rules/1,true,2026-06-10T14:29:07+00:00
bfe5e327-c3e4-54a8-92ad-cfb1cdf7638e,cbbb0d5b-1db6-5f18-adb3-3778ab8c0a5a,Food delivery cashback,cashback,0.0500,,250000.00,50000.00,0.00,online,Synthetic rule for food delivery cashback on VPBank Online Cashback.,2025-01-01,2026-12-31,https://example.com/reward-rules/2,true,2026-06-10T14:29:07+00:00
6ee9c6db-647c-547e-b34f-f2aee29b393d,cbbb0d5b-1db6-5f18-adb3-3778ab8c0a5a,Base cashback,cashback,0.0020,,100000.00,0.00,0.00,any,Synthetic rule for base cashback on VPBank Online Cashback.,2025-01-01,2026-12-31,https://example.com/reward-rules/3,true,2026-06-10T14:29:07+00:00
5accebea-60ff-5737-b092-704d8f33c807,eec6a2d8-2a1a-5c22-a1c2-f5be6e700961,Family grocery cashback,cashback,0.0600,,350000.00,50000.00,0.00,any,Synthetic rule for family grocery cashback on VPBank Family Care.,2025-01-01,2026-12-31,https://example.com/reward-rules/1,true,2026-06-10T14:29:07+00:00
d0684ccc-86f5-55d6-803e-265fb5c8db82,eec6a2d8-2a1a-5c22-a1c2-f5be6e700961,Healthcare cashback,cashback,0.0400,,250000.00,50000.00,0.00,any,Synthetic rule for healthcare cashback on VPBank Family Care.,2025-01-01,2026-12-31,https://example.com/reward-rules/2,true,2026-06-10T14:29:07+00:00
bad15000-c0fb-5a4a-875e-d4de0bd5b2aa,eec6a2d8-2a1a-5c22-a1c2-f5be6e700961,Base cashback,cashback,0.0020,,100000.00,0.00,0.00,any,Synthetic rule for base cashback on VPBank Family Care.,2025-01-01,2026-12-31,https://example.com/reward-rules/3,true,2026-06-10T14:29:07+00:00
a6b96958-0914-51a8-8196-0df42516a3b5,cc283eff-259a-50bd-8abb-79b9f8d90fbb,Lifestyle cashback,cashback,0.0500,,300000.00,50000.00,0.00,any,Synthetic rule for lifestyle cashback on ACB Lifestyle.,2025-01-01,2026-12-31,https://example.com/reward-rules/1,true,2026-06-10T14:29:07+00:00
b05061d3-e213-5627-9104-6242a03c53c8,cc283eff-259a-50bd-8abb-79b9f8d90fbb,Shopping cashback,cashback,0.0400,,250000.00,50000.00,0.00,any,Synthetic rule for shopping cashback on ACB Lifestyle.,2025-01-01,2026-12-31,https://example.com/reward-rules/2,true,2026-06-10T14:29:07+00:00
19222fc2-364e-5d30-a7fc-5d5a5b9d413a,cc283eff-259a-50bd-8abb-79b9f8d90fbb,Base cashback,cashback,0.0020,,100000.00,0.00,0.00,any,Synthetic rule for base cashback on ACB Lifestyle.,2025-01-01,2026-12-31,https://example.com/reward-rules/3,true,2026-06-10T14:29:07+00:00
f436d9bf-c657-593e-918b-eb38e112083b,decee33e-e2de-5b90-b3c2-0cb0cd81f422,Travel cashback,cashback,0.0600,,500000.00,100000.00,0.00,any,Synthetic rule for travel cashback on ACB Travel Rewards.,2025-01-01,2026-12-31,https://example.com/reward-rules/1,true,2026-06-10T14:29:07+00:00
1d733992-07ef-57cb-8002-1b8d5d02f0e5,decee33e-e2de-5b90-b3c2-0cb0cd81f422,Dining abroad cashback,cashback,0.0400,,250000.00,50000.00,0.00,any,Synthetic rule for dining abroad cashback on ACB Travel Rewards.,2025-01-01,2026-12-31,https://example.com/reward-rules/2,true,2026-06-10T14:29:07+00:00
ead60f3e-b830-5d64-a984-a53a8fa52a9c,decee33e-e2de-5b90-b3c2-0cb0cd81f422,Base miles,miles,0.0000,1.0000,0.00,0.00,0.00,any,Synthetic rule for base miles on ACB Travel Rewards.,2025-01-01,2026-12-31,https://example.com/reward-rules/3,true,2026-06-10T14:29:07+00:00
36118b4d-409b-5142-8b2a-882cae3b96dd,624da688-9432-5bdc-8e31-636e2eb7fc1d,Dining cashback,cashback,0.0500,,300000.00,50000.00,0.00,any,Synthetic rule for dining cashback on MB Daily Cashback.,2025-01-01,2026-12-31,https://example.com/reward-rules/1,true,2026-06-10T14:29:07+00:00
a5e9f510-d67b-5ff3-81a7-e64f00410891,624da688-9432-5bdc-8e31-636e2eb7fc1d,Grocery cashback,cashback,0.0400,,250000.00,50000.00,0.00,any,Synthetic rule for grocery cashback on MB Daily Cashback.,2025-01-01,2026-12-31,https://example.com/reward-rules/2,true,2026-06-10T14:29:07+00:00
cd231915-6185-5583-9e8e-7e113a4b6729,624da688-9432-5bdc-8e31-636e2eb7fc1d,Base cashback,cashback,0.0020,,100000.00,0.00,0.00,any,Synthetic rule for base cashback on MB Daily Cashback.,2025-01-01,2026-12-31,https://example.com/reward-rules/3,true,2026-06-10T14:29:07+00:00
201fb3f0-60f9-55e7-8a7b-870475fcb054,47c48a26-9bd6-5df1-b0d8-fd3880320c88,Travel cashback,cashback,0.0600,,500000.00,100000.00,0.00,any,Synthetic rule for travel cashback on MB Premium Miles.,2025-01-01,2026-12-31,https://example.com/reward-rules/1,true,2026-06-10T14:29:07+00:00
171cf309-b604-5411-b877-7ef6528c4501,47c48a26-9bd6-5df1-b0d8-fd3880320c88,Dining abroad cashback,cashback,0.0400,,250000.00,50000.00,0.00,any,Synthetic rule for dining abroad cashback on MB Premium Miles.,2025-01-01,2026-12-31,https://example.com/reward-rules/2,true,2026-06-10T14:29:07+00:00
5ae726d3-041a-5248-8153-a257e39ae175,47c48a26-9bd6-5df1-b0d8-fd3880320c88,Base miles,miles,0.0000,1.0000,0.00,0.00,0.00,any,Synthetic rule for base miles on MB Premium Miles.,2025-01-01,2026-12-31,https://example.com/reward-rules/3,true,2026-06-10T14:29:07+00:00
3ffa8b53-d5bb-5827-a37b-43ba8c06bfe6,8f1c2754-6fd1-56c8-be5c-9c3a9706e7fb,Digital and online cashback,cashback,0.0700,,350000.00,50000.00,0.00,online,Synthetic rule for digital and online cashback on TPBank Digital Cashback.,2025-01-01,2026-12-31,https://example.com/reward-rules/1,true,2026-06-10T14:29:07+00:00
5d035a58-79e8-5cf5-84db-4ec54b5f68ee,8f1c2754-6fd1-56c8-be5c-9c3a9706e7fb,Food delivery cashback,cashback,0.0500,,250000.00,50000.00,0.00,online,Synthetic rule for food delivery cashback on TPBank Digital Cashback.,2025-01-01,2026-12-31,https://example.com/reward-rules/2,true,2026-06-10T14:29:07+00:00
72fd84f9-2e01-588e-b532-39e6618aaf19,8f1c2754-6fd1-56c8-be5c-9c3a9706e7fb,Base cashback,cashback,0.0020,,100000.00,0.00,0.00,any,Synthetic rule for base cashback on TPBank Digital Cashback.,2025-01-01,2026-12-31,https://example.com/reward-rules/3,true,2026-06-10T14:29:07+00:00
bea9b9c9-dfb2-5bca-95f0-b91591d27224,eb21831d-062b-5dff-b027-7de01c8e2bf5,Healthcare cashback,cashback,0.0500,,300000.00,50000.00,0.00,any,Synthetic rule for healthcare cashback on TPBank Health & Education.,2025-01-01,2026-12-31,https://example.com/reward-rules/1,true,2026-06-10T14:29:07+00:00
5f266a66-6ca4-528c-aab8-d48480e92bd6,eb21831d-062b-5dff-b027-7de01c8e2bf5,Education cashback,cashback,0.0400,,250000.00,50000.00,0.00,any,Synthetic rule for education cashback on TPBank Health & Education.,2025-01-01,2026-12-31,https://example.com/reward-rules/2,true,2026-06-10T14:29:07+00:00
09002f60-5ee5-5ec3-b574-00f97e1f3c92,eb21831d-062b-5dff-b027-7de01c8e2bf5,Base cashback,cashback,0.0020,,100000.00,0.00,0.00,any,Synthetic rule for base cashback on TPBank Health & Education.,2025-01-01,2026-12-31,https://example.com/reward-rules/3,true,2026-06-10T14:29:07+00:00
