id,user_id,credit_card_id,nickname,billing_cycle_day,is_default,has_annual_fee,created_at
3eee330d-a06a-5840-a5eb-b4e25910c5ac,ba634983-1b35-53ae-b2d4-c379f806b36b,b6a805d2-f017-5c39-807f-ea91b044ed7c,Techcombank,26,true,true,2024-10-15T14:29:07+00:00
84ee7833-f4a9-51d2-9a6d-9d8ea1a17fec,321003e1-2849-548e-bc2e-4517fe445c9f,cbbb0d5b-1db6-5f18-adb3-3778ab8c0a5a,VPBank,24,true,true,2026-01-01T14:29:07+00:00
e17f5916-86de-5a64-89e6-03fb75b9e195,321003e1-2849-548e-bc2e-4517fe445c9f,47c48a26-9bd6-5df1-b0d8-fd3880320c88,MB,17,false,true,2025-08-11T14:29:07+00:00
db478ed6-15ae-5884-8582-f5f725973d37,331476b8-2901-54d8-9374-741a7c0e2e02,c8ceed11-7ddd-5bf8-8e35-d2133d08c306,Vietcombank,12,true,true,2025-01-25T14:29:07+00:00
ed86c2b8-adef-5789-b225-f9c9efc8fa22,331476b8-2901-54d8-9374-741a7c0e2e02,cc283eff-259a-50bd-8abb-79b9f8d90fbb,ACB,18,false,true,2023-12-24T14:29:07+00:00
d6e7be5a-cc0a-5e68-b4bd-f1e2015a6e41,5ffc1cbd-6d65-5234-bb4b-79682a151d62,b4cbc629-3a1e-58c0-98a3-6abf1e95f100,Vietcombank,20,true,true,2024-10-17T14:29:07+00:00
b39efc98-7a1a-5c48-a13d-ab85c8572327,ead86a83-bfcd-5b70-9755-1b351e81ed4a,cc283eff-259a-50bd-8abb-79b9f8d90fbb,ACB,25,true,true,2025-09-09T14:29:07+00:00
4374737b-284b-5b0c-915c-864694f3e96f,b000787c-111b-5cda-bfd2-5a010b034585,be369f64-957c-5d10-920a-be5cb898a322,Techcombank,11,true,true,2024-01-27T14:29:07+00:00
b718413d-ce84-590a-8d1c-bbd102298b0a,b000787c-111b-5cda-bfd2-5a010b034585,47c48a26-9bd6-5df1-b0d8-fd3880320c88,MB,15,false,true,2026-01-07T14:29:07+00:00
0a368566-db95-5865-843c-d783478aa3b4,bd9cbeb4-93d3-5ed3-b7fb-a0d8ab5e85a2,b4cbc629-3a1e-58c0-98a3-6abf1e95f100,Vietcombank,7,true,true,2025-01-06T14:29:07+00:00
0bc9a14e-cdb1-52b5-a3ba-14fa3752a61f,a311c349-f7e8-5233-b135-c40e36ac8a9b,be369f64-957c-5d10-920a-be5cb898a322,Techcombank,3,true,true,2025-10-24T14:29:07+00:00
ce9af01d-d43b-5c35-91cc-90dae7ac8039,a311c349-f7e8-5233-b135-c40e36ac8a9b,eec6a2d8-2a1a-5c22-a1c2-f5be6e700961,VPBank,10,false,true,2025-12-17T14:29:07+00:00
80c61d84-2c46-53af-93ba-e60a3dbf9180,a311c349-f7e8-5233-b135-c40e36ac8a9b,47c48a26-9bd6-5df1-b0d8-fd3880320c88,MB,25,false,true,2024-07-22T14:29:07+00:00
92e2d814-822b-5503-81c1-6460c9c3d561,47f852c7-0386-5b79-b254-d4e128931e59,c8ceed11-7ddd-5bf8-8e35-d2133d08c306,Vietcombank,24,true,true,2024-07-09T14:29:07+00:00
5cf54a64-b58b-57fd-a497-f88090d8997d,47f852c7-0386-5b79-b254-d4e128931e59,eb21831d-062b-5dff-b027-7de01c8e2bf5,TPBank,12,false,true,2024-10-21T14:29:07+00:00
4bd45520-1e3a-555e-b745-6e74ab4e83ec,c84a8695-f362-57eb-8e2f-f1db0dd35f62,be369f64-957c-5d10-920a-be5cb898a322,Techcombank,3,true,true,2024-06-09T14:29:07+00:00
86e161a7-1e84-5a9f-89ef-db184836406a,9a257554-d6ad-5166-843d-4ab76fa6ecd3,decee33e-e2de-5b90-b3c2-0cb0cd81f422,ACB,2,true,true,2024-06-22T14:29:07+00:00
768a901a-8665-55d4-bcbb-a06559903eec,9a257554-d6ad-5166-843d-4ab76fa6ecd3,eec6a2d8-2a1a-5c22-a1c2-f5be6e700961,VPBank,22,false,true,2024-05-22T14:29:07+00:00
8a10e72f-f2db-5fbe-9a15-2892dffed10d,ce6d330b-a7a6-510f-a360-04a22c697797,c8ceed11-7ddd-5bf8-8e35-d2133d08c306,Vietcombank,28,true,true,2024-11-07T14:29:07+00:00
9ff28ad5-91a4-5724-a80e-080d2cf3b5ec,ce6d330b-a7a6-510f-a360-04a22c697797,47c48a26-9bd6-5df1-b0d8-fd3880320c88,MB,27,false,true,2026-01-01T14:29:07+00:00
77eea303-86f9-5cbc-bcd5-f15aeb5869dc,d8d89b78-c0d2-55fa-990e-a2d67049613e,c8ceed11-7ddd-5bf8-8e35-d2133d08c306,Vietcombank,6,true,true,2025-07-05T14:29:07+00:00
e93a142b-34d5-5e0f-9695-2bf27a884483,c5d1762f-e2d2-548f-9174-0ae407350854,c8ceed11-7ddd-5bf8-8e35-d2133d08c306,Vietcombank,13,true,true,2024-05-06T14:29:07+00:00
c37553ec-0158-5aae-8e5c-5a25ec20bf8a,255264dc-1a5c-5f97-8e96-5f6554e7b6b4,cc283eff-259a-50bd-8abb-79b9f8d90fbb,ACB,3,true,true,2025-01-06T14:29:07+00:00
5768164c-13cf-5dfe-97b2-7e0720d52395,255264dc-1a5c-5f97-8e96-5f6554e7b6b4,eec6a2d8-2a1a-5c22-a1c2-f5be6e700961,VPBank,25,false,true,2025-09-23T14:29:07+00:00
4ba20eea-fdfb-5fd5-b5f7-cb8364803e11,bc028e9f-96f1-5a0a-932e-969cde7a3198,b4cbc629-3a1e-58c0-98a3-6abf1e95f100,Vietcombank,11,true,true,2025-08-15T14:29:07+00:00
8d9de80c-f5f6-502f-903a-e60c05f0d820,bc028e9f-96f1-5a0a-932e-969cde7a3198,eb21831d-062b-5dff-b027-7de01c8e2bf5,TPBank,23,false,true,2024-05-12T14:29:07+00:00
ca018f9a-38aa-5563-b919-77952a00b9d0,bc028e9f-96f1-5a0a-932e-969cde7a3198,47c48a26-9bd6-5df1-b0d8-fd3880320c88,MB,10,false,true,2025-08-05T14:29:07+00:00
43fd969e-539c-5591-ab2c-5d5e391877f7,8a428d56-1174-5374-b69e-9b64e33b03f9,cc283eff-259a-50bd-8abb-79b9f8d90fbb,ACB,1,true,true,2025-07-06T14:29:07+00:00
c4cb47af-c06c-596e-bd1a-d80ebd67e81b,8a428d56-1174-5374-b69e-9b64e33b03f9,8f1c2754-6fd1-56c8-be5c-9c3a9706e7fb,TPBank,14,false,true,2024-02-02T14:29:07+00:00
257d034e-f8c9-5592-be11-4d9a4232d10c,b9dc1e37-3408-546a-b1f3-116fe4d94b96,b4cbc629-3a1e-58c0-98a3-6abf1e95f100,Vietcombank,12,true,true,2024-09-07T14:29:07+00:00
8c11f2d7-1470-5b10-8483-82d08bd54c87,5a78d79c-ef1c-5dc1-940b-8bf5daed9b0b,cbbb0d5b-1db6-5f18-adb3-3778ab8c0a5a,VPBank,9,true,true,2025-08-29T14:29:07+00:00
f520bcfc-e72f-5bbd-bfdd-b022bb09725a,21588cbc-6719-5131-9c5c-1d36a68d5239,b6a805d2-f017-5c39-807f-ea91b044ed7c,Techcombank,12,true,true,2024-11-07T14:29:07+00:00
7e327b94-69a6-5071-925c-940069b27b65,2a666883-b124-51a3-b39b-99cda583fb99,be369f64-957c-5d10-920a-be5cb898a322,Techcombank,27,true,true,2025-11-27T14:29:07+00:00
1923daea-3d6c-5ed5-b79a-50ac131b2925,2a666883-b124-51a3-b39b-99cda583fb99,8f1c2754-6fd1-56c8-be5c-9c3a9706e7fb,TPBank,18,false,true,2025-11-15T14:29:07+00:00
ad2c9060-415d-5986-82b8-71a8e1c96135,c7a311d3-b07b-5bbc-9c11-1040722193de,eb21831d-062b-5dff-b027-7de01c8e2bf5,TPBank,25,true,true,2024-05-04T14:29:07+00:00
df450a9a-be6c-5030-bade-4b2c53551828,c7a311d3-b07b-5bbc-9c11-1040722193de,eec6a2d8-2a1a-5c22-a1c2-f5be6e700961,VPBank,2,false,true,2024-08-09T14:29:07+00:00
5fea083e-2a7b-5145-9d75-815402b0137c,4951a72e-1081-538b-8967-7dfc029a8f54,b4cbc629-3a1e-58c0-98a3-6abf1e95f100,Vietcombank,16,true,true,2025-03-04T14:29:07+00:00
38302023-df6c-5181-b2f5-a9b096ad96e3,4a7e85cd-72dc-59cd-8814-403da388eabf,b4cbc629-3a1e-58c0-98a3-6abf1e95f100,Vietcombank,18,true,true,2024-08-29T14:29:07+00:00
4d3a4ef1-47c2-56c9-b4f8-c920c7996761,281ccd85-504f-5492-bf20-46f165c70e74,c8ceed11-7ddd-5bf8-8e35-d2133d08c306,Vietcombank,22,true,true,2024-05-15T14:29:07+00:00
